open,high,low,close,volume,closeTime
0.20121,0.20162,0.20051,0.20051,124920,1759119539999
0.20051,0.20125,0.2,0.20086,418444,1759119599999
0.20083,0.20161,0.20081,0.2011,90794,1759119659999
0.2011,0.20137,0.20042,0.20069,165260,1759119719999
0.20077,0.20176,0.20075,0.20161,166464,1759119779999
0.20156,0.2038,0.20156,0.2031,323450,1759119839999
0.20307,0.20339,0.2028,0.20283,75910,1759119899999
0.20286,0.20304,0.20222,0.20248,209838,1759119959999
0.20251,0.20339,0.20204,0.20238,220847,1759120019999
0.20238,0.2035,0.20238,0.20307,98592,1759120079999
0.20306,0.20343,0.20268,0.2027,105774,1759120139999
0.20283,0.2033,0.20273,0.20292,95394,1759120199999
0.20292,0.20358,0.20279,0.2033,151647,1759120259999
0.20325,0.20361,0.20292,0.20302,164046,1759120319999
0.20302,0.20333,0.20221,0.20276,311510,1759120379999
0.20269,0.2032,0.20222,0.20242,131695,1759120439999
0.20247,0.203,0.20223,0.20266,204687,1759120499999
0.20269,0.2054,0.20264,0.20527,543881,1759120559999
0.20515,0.20533,0.20249,0.20389,527033,1759120619999
0.20389,0.20394,0.20308,0.20349,147134,1759120679999
0.20349,0.20408,0.20347,0.20387,61659,1759120739999
0.20386,0.20452,0.20386,0.20433,206947,1759120799999
0.20438,0.205,0.2043,0.20452,119410,1759120859999
0.20458,0.20499,0.20427,0.20434,146950,1759120919999
0.20442,0.20484,0.20331,0.20402,298461,1759120979999
0.20401,0.20539,0.20401,0.20513,288978,1759121039999
0.20513,0.20631,0.20462,0.2049,535207,1759121099999
0.2049,0.2052,0.2034,0.2036,493246,1759121159999
0.20365,0.20444,0.20352,0.20417,228425,1759121219999
0.20415,0.20461,0.20372,0.20449,170219,1759121279999
0.20454,0.20468,0.20401,0.20456,193352,1759121339999
0.20455,0.20478,0.20423,0.20454,52359,1759121399999
0.20454,0.20464,0.2039,0.20413,153105,1759121459999
0.20412,0.20415,0.20304,0.20319,322512,1759121519999
0.20314,0.2038,0.20308,0.20331,195478,1759121579999
0.20331,0.20351,0.2008,0.20156,940632,1759121639999
0.20157,0.20399,0.20113,0.20211,621132,1759121699999
0.2022,0.20245,0.20162,0.20226,629038,1759121759999
0.20214,0.20363,0.20201,0.20305,295985,1759121819999
0.2031,0.20339,0.20257,0.20295,242089,1759121879999
0.20295,0.20343,0.202,0.2025,380780,1759121939999
0.20252,0.20314,0.20206,0.20245,187820,1759121999999
0.20253,0.20392,0.19935,0.20163,890524,1759122059999
0.20163,0.2019,0.1993,0.20046,540877,1759122119999
0.20048,0.20066,0.19871,0.19888,400463,1759122179999
0.19885,0.19919,0.1972,0.19759,886463,1759122239999
0.19766,0.19797,0.19434,0.19592,1239401,1759122299999
0.19585,0.19616,0.19338,0.19367,652126,1759122359999
0.19377,0.19452,0.19342,0.1936,482411,1759122419999
0.19351,0.19454,0.19302,0.19341,603325,1759122479999
0.1933,0.19426,0.19322,0.19335,266417,1759122539999
0.19347,0.19438,0.19347,0.1942,160104,1759122599999
0.19422,0.19659,0.19422,0.19558,562565,1759122659999
0.19564,0.19802,0.19564,0.1974,439717,1759122719999
0.1973,0.19837,0.1973,0.19828,281401,1759122779999
0.19823,0.19863,0.19803,0.1984,243331,1759122839999
0.19837,0.19875,0.19812,0.19834,112494,1759122899999
0.19829,0.19871,0.19573,0.1969,629514,1759122959999
0.19681,0.19745,0.19497,0.19604,466330,1759123019999
0.19611,0.19624,0.19507,0.19511,237196,1759123079999
0.19512,0.19582,0.19512,0.19582,104235,1759123139999
0.19583,0.19626,0.19583,0.19624,93915,1759123199999
0.19624,0.19624,0.19519,0.19596,326123,1759123259999
0.19603,0.19655,0.1952,0.19581,176264,1759123319999
0.19582,0.19595,0.19506,0.19553,138594,1759123379999
0.19546,0.19646,0.19506,0.1962,341520,1759123439999
0.19619,0.19643,0.19619,0.19638,46349,1759123499999
0.1964,0.19754,0.1964,0.19708,177342,1759123559999
0.19706,0.19717,0.19606,0.19664,303585,1759123619999
0.19664,0.19664,0.19596,0.19656,116524,1759123679999
0.19661,0.19677,0.19633,0.19665,52751,1759123739999
0.19659,0.19757,0.19659,0.1975,148092,1759123799999
0.1975,0.198,0.19661,0.19728,379557,1759123859999
0.19721,0.19893,0.19708,0.19862,235121,1759123919999
0.19856,0.20079,0.19849,0.20065,462236,1759123979999
0.20057,0.20137,0.2005,0.20121,457503,1759124039999
0.20119,0.20121,0.20047,0.20099,292105,1759124099999
0.20089,0.20106,0.20016,0.20034,196245,1759124159999
0.20029,0.2003,0.19938,0.19967,182508,1759124219999
0.1997,0.19994,0.19948,0.19971,75276,1759124279999
0.19974,0.2009,0.19971,0.20078,209937,1759124339999
0.20074,0.20134,0.20038,0.20106,146158,1759124399999
0.20106,0.20165,0.20077,0.2008,257044,1759124459999
0.20078,0.2016,0.20049,0.20156,171867,1759124519999
0.20158,0.20199,0.2008,0.20088,256657,1759124579999
0.20088,0.20178,0.20051,0.20134,138937,1759124639999
0.20126,0.2015,0.20098,0.20147,139269,1759124699999
0.20143,0.20171,0.2005,0.20077,311719,1759124759999
0.20074,0.20111,0.2004,0.20108,130098,1759124819999
0.20111,0.20141,0.19976,0.20026,304155,1759124879999
0.20016,0.20025,0.19951,0.19993,175390,1759124939999
0.19987,0.19987,0.19912,0.1993,162681,1759124999999
0.19932,0.19932,0.1981,0.19878,238334,1759125059999
0.19864,0.19879,0.19825,0.19873,83673,1759125119999
0.19873,0.19875,0.19789,0.19829,154571,1759125179999
0.19822,0.19822,0.19762,0.19788,138619,1759125239999
0.19788,0.19905,0.1978,0.1986,299692,1759125299999
0.19865,0.19878,0.1985,0.19872,48980,1759125359999
0.19878,0.1988,0.19821,0.19859,64804,1759125419999
0.19863,0.19863,0.19792,0.19794,81780,1759125479999
0.19794,0.19794,0.19611,0.19728,452104,1759125539999
0.19723,0.19809,0.19706,0.19753,178520,1759125599999
0.19753,0.20032,0.19725,0.20017,439566,1759125659999
0.20012,0.2002,0.19935,0.19976,490143,1759125719999
0.19968,0.19972,0.19896,0.19958,173674,1759125779999
0.19953,0.19958,0.19863,0.19938,172167,1759125839999
